"SMILES_canonical","target_feature"
"CCOC(=O)CC1ON(C)C(=O)N1c1ccc([N+](=O)[O-])cc1","0"
"Cc1nc(C)c(-c2nnc(SCCCN3CCC4(CCc5cc(Cl)ccc54)C3)n2C)s1","1"
"COC(=O)c1c(NC(=O)c2nc(SCc3cccc(C)c3)ncc2Cl)sc2c1CCCC2","0"
"Cc1c(Cl)cccc1-n1nnc(-c2nc(-c3ccc4c(c3)OCO4)no2)c1C","0"
"O=C1OCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4ncccn4)cc23)CC1","1"
"Clc1ccc(N2CCN(Cc3cn4cc(Br)ccc4n3)CC2)cc1Cl","1"
"NC(=O)CSc1cn(Cc2cccc(F)c2)c2ccccc12","0"
"COc1ccccc1C(=O)NCCN1CCC(n2c(O)nc3ccccc32)CC1","0"
"Fc1ccc(N2CCN(Cc3cnn(-c4ccccc4)c3)CC2)cc1","1"
"O=C(O)c1ccc(NN=CC(Br)=Cc2ccccc2)cc1","0"
"CC(C)c1cc(NC(=O)c2ccccc2)cc(C(C)C)c1O","0"
"COc1cccc(NC(=O)C2(C)CCN2C(C)C)c1OC","0"
"COc1ccccc1N(C(C)=O)C1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1","1"
"Cc1ccc(NC(=O)CSc2nc3ncc(Cl)cc3[nH]2)c(C)c1","0"
"CCOC(=O)c1c(C(=O)OCC)c(C)n(CCc2ccc(OC)c(OC)c2)c1C","0"
"COc1cc(C=CC(=O)OCC(=O)NCCc2ccccc2)cc(OC)c1OC","0"
"CCc1cc2ccccc2nc1SCC(=O)N1CCN(C(=O)c2ccco2)CC1","0"
"COc1cccc(CC(=O)OCC(=O)NC2(C#N)CCCC2)c1","0"
"O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(I)ccc2o1","1"
"CC1CCc2c(c(O)n(-c3cc(Cl)ccc3OC(=O)c3ccco3)c2O)C1","0"
"CS(=O)(=O)N1CCCC(C(=O)Nc2c(F)cccc2F)C1","0"
"CCOC(=O)Cc1c(C)nc(-c2ccccc2)nc1O","0"
"OC1(c2ccc(Br)cc2)CCN(Cc2c[nH]c3ncccc23)CC1","1"
"COc1cc(OC)c(N=C2CC(=O)C(=O)c3ccccc32)cc1Cl","0"
